monthly_salary,monthly_expenses,current_savings,annual_return_pct,goal_type,goal_cost,months_to_reach
262982.18,95990.19,1735867.46,3.12,property,1268713.82,0
301453.74,204150.48,4272148.27,0.44,car,781003.54,0
212035.01,77588.19,1011853.04,9.1,property,3646398.66,18
190699.44,98575.29,3978601.97,10.62,car,1835906.67,0
149295.2,66180.72,3429775.52,4.71,car,1135840.06,0
156412.16,87023.57,992982.75,0.61,house,8739079.23,108
389783.99,224952.38,5164238.4,11.61,property,7140888.11,9
157421.31,73259.65,262787.1,9.26,house,14800490.53,109
345020.73,300130.16,3147634.3,6.35,house,3695830.31,9
155002.87,116578.45,2610819.84,9.57,car,1640088.21,0
85032.69,66961.21,333469.27,5.31,property,5661214.69,180
103453.77,56337.78,1907638.4,0.78,car,2071100.76,4
172442.62,67203.16,3779126.04,7.94,property,2860084.11,0
269066.69,158044.16,5905783.09,6.42,house,3385009.31,0
303095.81,204100.59,5434002.21,6.0,property,3495503.79,0
103341.89,98022.11,1263729.83,1.27,car,2194426.4,131
78079.7,34822.7,1275162.48,8.35,house,6651860.37,79
398526.12,266003.68,9288002.46,12.05,car,1796623.5,0
63529.66,55961.57,1144872.31,10.76,house,3005954.34,74
185210.8,115244.5,4239768.16,12.26,house,14620489.33,65
309545.64,202631.36,790536.14,8.75,property,4307471.61,29
95586.22,54899.78,370604.67,13.35,property,7388701.21,92
247598.94,159246.58,664759.93,5.08,house,4732606.19,41
111531.21,77002.72,210812.84,10.25,car,2451565.89,50
222428.34,94633.54,3521934.8,13.26,car,883124.58,0
351524.56,212279.62,1786854.48,7.55,property,5674007.24,25
290920.61,171467.26,4689781.92,5.23,property,3886146.06,0
114204.13,44358.66,57652.79,7.75,property,2151630.38,28
46977.37,34230.62,258122.0,12.68,house,2456574.22,88
110441.76,82984.47,567856.57,1.85,property,4821587.37,136
112338.95,71198.6,1097488.55,1.32,property,3732883.87,61
180959.88,114043.59,3166403.42,9.43,property,1238134.03,0
172996.09,95767.44,3577583.45,3.48,car,1479828.66,0
73269.27,33710.67,813514.13,12.24,car,1274887.64,10
347312.66,236240.4,421679.21,13.99,car,2431791.77,16
372019.45,319645.6,1484903.24,6.8,car,2202230.87,12
362928.29,162875.78,18773.95,5.47,house,5350864.59,26
284704.77,224433.68,5352642.36,9.27,house,3589757.14,0
132748.97,123619.25,1845254.14,7.59,property,2852036.07,43
39054.09,24841.26,861739.83,7.44,car,2413713.59,65
50442.36,23278.89,720359.36,9.45,car,1188306.21,14
377806.53,261368.54,5249265.58,0.56,car,1222294.81,0
241795.47,160472.31,5424185.73,2.86,property,2856378.97,0
120933.51,51823.27,1873504.3,6.4,car,320494.01,0
256040.52,176103.69,614382.02,7.53,property,2489003.11,22
374638.56,329126.91,7905804.98,5.17,car,1264006.06,0
226422.83,120346.06,5346404.32,11.3,property,558673.3,0
330499.57,175041.58,5261992.46,13.15,car,881825.03,0
358090.83,284843.35,1335947.3,3.94,car,1878746.81,7
97366.98,71130.74,616879.56,6.84,car,503056.63,0
180958.79,93376.21,15398.97,10.8,property,7848484.65,66
81401.15,50069.95,1378611.42,7.85,car,465536.49,0
355580.43,317304.74,4656029.5,11.68,property,4643938.23,0
183318.95,68762.45,1604340.8,13.06,car,2277634.2,5
99829.08,49886.37,246283.04,10.92,house,14646799.81,139
304801.49,275985.04,1731789.41,2.28,car,2239115.65,16
29418.82,23297.9,234540.09,13.03,property,6980480.21,208
328084.74,167350.59,6199813.47,1.51,car,2188905.15,0
104524.81,87795.82,1154714.62,4.27,car,790431.8,0
270812.61,159530.18,1810781.33,0.97,house,6240472.74,39
213574.16,161827.46,4324421.32,4.64,car,553751.85,0
388752.23,177714.46,8980496.73,3.72,car,1612456.76,0
151361.1,124397.17,1585273.42,13.78,car,1147429.95,0
239103.46,120229.23,4067352.27,0.02,property,5651428.6,14
377299.99,298905.58,1784192.43,6.04,property,7405781.42,56
256799.06,192094.04,768087.92,12.6,property,2819634.97,25
175189.31,103614.0,1243095.11,1.78,house,10476547.36,116
164075.21,131076.52,685285.73,7.97,house,8897152.38,136
20154.26,10523.51,207937.83,8.12,property,2916869.22,146
187878.69,141919.11,2304928.78,11.11,property,1772685.47,0
52222.3,34428.66,793287.11,4.69,car,1780150.48,44
105363.45,49465.82,61765.04,3.43,house,9752198.64,141
312025.95,194470.08,6635945.04,8.06,property,5722656.88,0
207863.32,103181.41,3272889.58,0.08,car,2012524.89,0
103159.63,85876.88,1722960.07,6.5,property,2368987.1,23
342367.81,213595.44,6585101.96,9.35,property,4965892.39,0
381015.05,337143.28,5602314.15,10.07,property,3700555.68,0
364604.8,225161.02,1392713.68,12.06,house,4999085.9,22
113951.1,83480.22,2094367.49,7.3,property,2294343.98,5
187151.59,145627.69,1053260.28,4.7,property,1104332.43,2
77315.65,44829.25,283541.72,3.0,house,7002591.49,165
226192.23,135594.22,1122823.98,5.88,property,7595465.25,59
27422.14,24087.45,378879.92,6.68,house,5531270.81,331
168194.93,148849.97,3373567.73,7.54,property,4595992.32,28
249235.98,120212.3,1312506.41,6.1,car,1155485.85,0
274171.98,227257.15,4765205.74,11.77,car,2457588.35,0
222966.98,199367.56,3167341.06,9.28,car,1714049.23,0
71565.81,44873.12,86367.85,5.31,car,1300338.52,41
148250.21,130131.66,990038.43,13.32,house,4905665.68,83
51124.37,18488.1,661859.0,14.0,house,4526999.24,65
46074.98,42590.39,44517.43,0.43,car,738593.5,192
27744.41,12247.2,84046.23,9.37,property,7608177.67,198
196712.91,99093.39,1741594.67,8.48,property,5887679.21,34
315560.92,141453.17,2355641.44,8.1,house,9273255.83,33
365049.94,209970.95,8248410.79,2.78,property,5679608.12,0
258352.11,106219.09,4789729.6,11.9,property,6541459.73,9
322566.34,222428.7,317940.46,7.46,property,3279281.57,27
212265.1,117751.67,4328046.13,11.51,car,1253751.48,0
157631.45,139495.17,1739265.17,2.14,car,1914349.67,9
386880.02,198101.7,7504227.08,7.53,house,7775795.92,2
333779.15,235476.11,2581885.17,3.44,car,913642.15,0
191304.76,153098.48,2616358.79,9.35,house,1887449.97,0
343362.08,157638.87,1748013.9,11.17,house,5275389.59,17
246538.9,216477.04,3288578.65,7.23,car,488348.52,0
293628.37,188846.12,5342847.68,9.67,property,5838818.05,4
190306.33,68576.12,1343877.44,5.66,car,973653.27,0
240991.12,152777.84,3070739.33,5.96,property,4627913.55,15
153688.0,95631.92,1130982.59,3.23,property,1944382.2,14
65430.8,43937.99,1196896.25,2.59,car,1924930.24,30
125069.86,88018.18,2281898.25,8.36,car,2131782.4,0
132573.66,75106.77,961745.26,9.91,car,903484.92,0
390232.07,266144.28,6531711.25,1.77,house,2884933.23,0
24660.85,12838.53,283332.02,4.77,car,855452.46,41
347454.73,145393.22,544893.25,6.88,property,5220842.8,22
40371.45,17744.0,545343.59,4.25,car,560593.44,1
310488.51,221623.78,5892382.59,3.16,property,3352835.2,0
365231.66,192992.75,5158752.37,6.0,property,5157704.91,0
251659.75,199831.32,5723287.43,2.91,car,882221.48,0
50851.24,25116.4,673667.72,2.19,house,7581800.01,211
245648.25,128905.29,1364681.59,9.9,property,6947050.49,38
47048.31,23056.23,298724.35,11.08,property,5458872.82,112
374794.01,226781.63,4898369.28,9.07,house,12659520.66,37
47135.74,21190.04,347988.24,10.49,property,7408943.97,132
186878.31,117961.1,1363873.15,5.64,house,8256374.39,77
207642.18,82696.64,198642.73,6.05,house,9650134.15,64
29828.66,14537.14,482721.99,12.05,property,7630897.08,152
399837.52,301225.17,2586254.88,0.56,car,1335101.81,0
267573.61,240720.9,1165480.93,8.19,property,6606837.08,107
388240.99,245370.73,3804899.23,4.49,car,2187012.81,0
145325.39,111348.93,1005248.74,13.23,property,775228.48,0
53462.72,26808.31,148739.62,10.82,property,6686954.02,127
20437.41,17813.66,226598.35,0.76,property,3213345.19,824
307448.4,222975.49,5607788.96,2.85,property,1482599.22,0
129451.08,113723.8,1505915.12,0.4,property,5066537.5,212
110933.04,49368.18,1466549.84,7.73,car,794341.45,0
339734.16,142034.93,7721973.24,9.07,car,1396426.11,0
292309.26,191557.04,1918191.13,11.69,house,4790367.23,22
229480.73,133133.61,5077223.41,7.12,car,2200859.26,0
124974.01,102979.05,1244568.48,13.08,property,2503794.97,31
20974.8,16478.44,421581.33,8.12,property,4172302.6,222
76466.26,51473.14,633368.08,7.73,property,3329075.41,73
374483.86,326460.43,8814822.41,3.34,house,4653093.02,0
314706.9,118389.08,5624732.4,9.87,house,6712063.16,5
272201.76,229315.97,6407530.05,6.93,car,577741.79,0
386834.36,212448.2,931787.45,11.83,car,1457092.39,3
193632.67,151704.67,1905246.1,9.17,car,464622.15,0
316979.61,161346.95,4741452.53,5.56,car,2173883.64,0
343889.71,297672.76,3136351.7,4.43,property,7155790.12,63
205420.04,138578.34,3044125.2,3.29,property,7406968.24,54
